0x0221 1 X....X...X......, 3 bits, 3 clusters
0x0222 1 .X...X...X......, 3 bits, 3 clusters
0x0223 1 XX...X...X......, 4 bits, 3 clusters
0x0224 1 ..X..X...X......, 3 bits, 3 clusters
0x0226 1 .XX..X...X......, 4 bits, 3 clusters
0x0227 1 XXX..X...X......, 5 bits, 3 clusters
0x0230 1 ....XX...X......, 3 bits, 2 clusters
0x0231 1 X...XX...X......, 4 bits, 3 clusters
0x0232 1 .X..XX...X......, 4 bits, 3 clusters
0x0233 1 XX..XX...X......, 5 bits, 3 clusters
0x0238 1 ...XXX...X......, 4 bits, 2 clusters
0x0239 1 X..XXX...X......, 5 bits, 3 clusters
0x023c 1 ..XXXX...X......, 5 bits, 2 clusters
0x023e 1 .XXXXX...X......, 6 bits, 2 clusters
0x023f 1 XXXXXX...X......, 7 bits, 2 clusters
0x0240 1 ......X..X......, 2 bits, 2 clusters
0x0241 1 X.....X..X......, 3 bits, 3 clusters
0x0242 1 .X....X..X......, 3 bits, 3 clusters
0x0243 1 XX....X..X......, 4 bits, 3 clusters
0x0244 1 ..X...X..X......, 3 bits, 3 clusters
0x0246 1 .XX...X..X......, 4 bits, 3 clusters
0x0247 1 XXX...X..X......, 5 bits, 3 clusters
0x0248 1 ...X..X..X......, 3 bits, 3 clusters
0x0249 1 X..X..X..X......, 4 bits, 4 clusters
0x024c 1 ..XX..X..X......, 4 bits, 3 clusters
0x024e 1 .XXX..X..X......, 5 bits, 3 clusters
0x024f 1 XXXX..X..X......, 6 bits, 3 clusters
0x0260 1 .....XX..X......, 3 bits, 2 clusters
0x0261 1 X....XX..X......, 4 bits, 3 clusters
0x0262 1 .X...XX..X......, 4 bits, 3 clusters
0x0263 1 XX...XX..X......, 5 bits, 3 clusters
0x0264 1 ..X..XX..X......, 4 bits, 3 clusters
0x0266 1 .XX..XX..X......, 5 bits, 3 clusters
0x0267 1 XXX..XX..X......, 6 bits, 3 clusters
0x0270 1 ....XXX..X......, 4 bits, 2 clusters
0x0271 1 X...XXX..X......, 5 bits, 3 clusters
0x0272 1 .X..XXX..X......, 5 bits, 3 clusters
0x0273 1 XX..XXX..X......, 6 bits, 3 clusters
0x0278 1 ...XXXX..X......, 5 bits, 2 clusters
0x0279 1 X..XXXX..X......, 6 bits, 3 clusters
0x027c 1 ..XXXXX..X......, 6 bits, 2 clusters
0x027e 1 .XXXXXX..X......, 7 bits, 2 clusters
0x027f 1 XXXXXXX..X......, 8 bits, 2 clusters
0x0301 1 X.......XX......, 3 bits, 2 clusters
0x0302 1 .X......XX......, 3 bits, 2 clusters
0x0303 1 XX......XX......, 4 bits, 2 clusters
0x0304 1 ..X.....XX......, 3 bits, 2 clusters
0x0306 1 .XX.....XX......, 4 bits, 2 clusters
0x0307 1 XXX.....XX......, 5 bits, 2 clusters
0x0308 1 ...X....XX......, 3 bits, 2 clusters
0x0309 1 X..X....XX......, 4 bits, 3 clusters
0x030c 1 ..XX....XX......, 4 bits, 2 clusters
0x030e 1 .XXX....XX......, 5 bits, 2 clusters
0x030f 1 XXXX....XX......, 6 bits, 2 clusters
0x0310 1 ....X...XX......, 3 bits, 2 clusters
0x0311 1 X...X...XX......, 4 bits, 3 clusters
0x0312 1 .X..X...XX......, 4 bits, 3 clusters
0x0313 1 XX..X...XX......, 5 bits, 3 clusters
0x0318 1 ...XX...XX......, 4 bits, 2 clusters
0x0319 1 X..XX...XX......, 5 bits, 3 clusters
0x031c 1 ..XXX...XX......, 5 bits, 2 clusters
0x031e 1 .XXXX...XX......, 6 bits, 2 clusters
0x031f 1 XXXXX...XX......, 7 bits, 2 clusters
0x0320 1 .....X..XX......, 3 bits, 2 clusters
0x0321 1 X....X..XX......, 4 bits, 3 clusters
0x0322 1 .X...X..XX......, 4 bits, 3 clusters
0x0323 1 XX...X..XX......, 5 bits, 3 clusters
0x0324 1 ..X..X..XX......, 4 bits, 3 clusters
0x0326 1 .XX..X..XX......, 5 bits, 3 clusters
0x0327 1 XXX..X..XX......, 6 bits, 3 clusters
0x0330 1 ....XX..XX......, 4 bits, 2 clusters
0x0331 1 X...XX..XX......, 5 bits, 3 clusters
0x0332 1 .X..XX..XX......, 5 bits, 3 clusters
0x0333 1 XX..XX..XX......, 6 bits, 3 clusters
0x0338 1 ...XXX..XX......, 5 bits, 2 clusters
